tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender
640,58:36.4,09:17.1,3203,Hamilton Park,40.72759597,-74.04424731,3681,Grand St,40.71517768,-74.03768331,48753,Subscriber,1985,1
461,58:37.5,06:19.3,3203,Hamilton Park,40.72759597,-74.04424731,3185,City Hall,40.7177325,-74.043845,25176,Subscriber,1953,2
478,01:14.5,09:13.3,3276,Marin Light Rail,40.71458404,-74.04281706,3202,Newport PATH,40.7272235,-74.0337589,42151,Subscriber,1988,1
1549,02:27.1,28:17.1,3276,Marin Light Rail,40.71458404,-74.04281706,3272,Jersey & 3rd,40.72333159,-74.04595256,45340,Subscriber,1968,1
78,05:40.7,06:58.7,3185,City Hall,40.7177325,-74.043845,3186,Grove St PATH,40.71958612,-74.04311746,44345,Subscriber,1986,1
1205,08:15.6,28:20.9,3203,Hamilton Park,40.72759597,-74.04424731,3677,Glenwood Ave,40.72755147,-74.07106072,40306,Subscriber,1959,1
773,11:40.6,24:34.5,3206,Hilltop,40.7311689,-74.0575736,3639,Harborside,40.7192517,-74.034234,42331,Customer,1992,1
1286,11:43.7,33:10.6,3639,Harborside,40.7192517,-74.034234,3196,Riverview Park,40.7443187,-74.0439909,32586,Subscriber,1991,1
1932,26:30.3,58:42.3,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,46538,Subscriber,1987,2
289,27:11.8,32:01.6,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3202,Newport PATH,40.7272235,-74.0337589,42759,Subscriber,1991,1
1839,27:53.1,58:32.3,3187,Warren St,40.7211236,-74.03805095,3187,Warren St,40.7211236,-74.03805095,33008,Customer,1969,0
2973,28:59.0,18:32.5,3272,Jersey & 3rd,40.72333159,-74.04595256,3186,Grove St PATH,40.71958612,-74.04311746,45340,Subscriber,1968,1
763,30:21.8,43:05.1,3640,Journal Square,40.73367,-74.0625,3225,Baldwin at Montgomery,40.7236589,-74.0641943,41618,Customer,1998,1
281,40:55.5,45:37.3,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,40958,Subscriber,1992,1
348,41:31.1,47:19.7,3186,Grove St PATH,40.71958612,-74.04311746,3276,Marin Light Rail,40.71458404,-74.04281706,44345,Subscriber,1992,2
582,54:53.8,04:36.5,3677,Glenwood Ave,40.72755147,-74.07106072,3206,Hilltop,40.7311689,-74.0575736,40306,Customer,1976,1
250,57:05.1,01:15.6,3186,Grove St PATH,40.71958612,-74.04311746,3213,Van Vorst Park,40.71848892,-74.04772663,40885,Subscriber,1986,1
