tripduration,starttime,stoptime,start station id,start station name,start station latitude,start station longitude,end station id,end station name,end station latitude,end station longitude,bikeid,usertype,birth year,gender,month,year
715,15:55.9,27:51.1,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,42162,Customer,1969,0,5,2020
791,16:01.6,29:13.4,3483,Montgomery St,40.71942,-74.05099,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42149,Subscriber,1984,1,5,2020
831,16:10.1,30:01.3,3483,Montgomery St,40.71942,-74.05099,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,42502,Subscriber,1990,2,5,2020
685,16:16.7,27:41.8,3205,JC Medical Center,40.71653978,-74.04963791,3187,Warren St,40.7211236,-74.03805095,42143,Customer,1969,0,5,2020
1701,16:23.9,44:45.4,3483,Montgomery St,40.71942,-74.05099,3210,Pershing Field,40.74267714,-74.05178863,42597,Subscriber,1979,2,5,2020
723,16:34.2,28:37.4,3483,Montgomery St,40.71942,-74.05099,3199,Newport Pkwy,40.7287448,-74.0321082,42376,Subscriber,1988,1,5,2020
1236,16:47.7,37:24.5,3187,Warren St,40.7211236,-74.03805095,3198,Heights Elevator,40.74871595,-74.0404433,42385,Subscriber,1993,1,5,2020
575,16:47.8,26:23.1,3187,Warren St,40.7211236,-74.03805095,3203,Hamilton Park,40.72759597,-74.04424731,42229,Customer,1970,1,5,2020
1233,16:49.6,37:23.5,3187,Warren St,40.7211236,-74.03805095,3198,Heights Elevator,40.74871595,-74.0404433,42238,Customer,1969,0,5,2020
467,17:10.9,24:58.8,3199,Newport Pkwy,40.7287448,-74.0321082,3273,Manila & 1st,40.72165072,-74.04288411,42274,Subscriber,1990,1,5,2020
1718,17:37.4,46:16.1,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42465,Customer,1969,0,5,2020
1543,17:41.8,43:24.8,3205,JC Medical Center,40.71653978,-74.04963791,3205,JC Medical Center,40.71653978,-74.04963791,42204,Customer,1969,0,5,2020
3361,17:50.6,13:51.9,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3184,Paulus Hook,40.7141454,-74.0335519,42303,Customer,1984,2,5,2020
2007,18:03.5,51:31.1,3205,JC Medical Center,40.71653978,-74.04963791,3481,York St,40.71649,-74.04105,42433,Customer,1992,1,5,2020
3328,18:38.8,14:07.3,3792,Columbus Dr at Exchange Pl,40.71687,-74.03281,3184,Paulus Hook,40.7141454,-74.0335519,42155,Customer,1982,1,5,2020
1515,18:58.6,44:14.5,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42113,Customer,1969,0,5,2020
1457,19:55.9,44:13.0,3199,Newport Pkwy,40.7287448,-74.0321082,3199,Newport Pkwy,40.7287448,-74.0321082,42614,Customer,1969,0,5,2020
1522,20:30.2,45:53.0,3187,Warren St,40.7211236,-74.03805095,3276,Marin Light Rail,40.71458404,-74.04281706,42454,Subscriber,1988,1,5,2020
256,22:13.1,26:29.6,3205,JC Medical Center,40.71653978,-74.04963791,3681,Grand St,40.71517768,-74.03768331,42388,Subscriber,1990,1,5,2020
